2026-02-13 01:56:41,015 - INFO - ================================================================================
2026-02-13 01:56:41,015 - INFO - Perturbation method and options c2_bg
2026-02-13 01:56:41,015 - INFO - ================================================================================
2026-02-13 01:56:41,015 - INFO - Starting perturbation process at 20260213_015641
2026-02-13 01:56:41,015 - INFO - Model Name: resnet50
2026-02-13 01:56:41,015 - INFO - Model Path: /mnt/sdd/basics/balanced_training/resnet50/resnet50.pth
2026-02-13 01:56:41,015 - INFO - Base Image Directory: /home/balanced_dataset/train
2026-02-13 01:56:41,015 - INFO - Batch Size: 32
2026-02-13 01:56:41,019 - INFO - Collected 2112 images for analysis.
2026-02-13 01:57:09,409 - INFO - Batch processed 2112                           images into 66 batches with batch size 32.
2026-02-13 01:57:09,409 - INFO - Input image shapes: Number of batches: 66,                           Batch size: 32,                           Image tensor shape: torch.Size([32, 3, 224, 224])
2026-02-13 01:57:09,460 - INFO - Model loaded from /mnt/sdd/basics/balanced_training/resnet50/resnet50.pth and set to evaluation mode.
2026-02-13 01:57:09,460 - INFO - Custom layers to perturb set: ['layer3.5.conv2', 'layer4.2.conv3']
2026-02-13 01:57:09,460 - INFO - Options class and artifact c2_bg
2026-02-13 01:57:09,460 - INFO - List of layers to pertubate ['layer3.5.conv2', 'layer4.2.conv3']
2026-02-13 01:57:09,505 - INFO - ================================================================================
2026-02-13 01:57:09,505 - INFO - Target layer found: layer3.5.conv2
2026-02-13 01:57:13,836 - INFO - Std activation sample values: tensor([0.1891, 0.2500, 0.2434, 0.2075, 0.2161], device='cuda:0')
2026-02-13 01:57:13,852 - INFO - Applying perturbation for layer: layer3.5.conv2, original output shape: torch.Size([32, 256, 14, 14]), perturbed activation shape: torch.Size([2112, 256, 14, 14])
2026-02-13 01:57:13,856 - INFO - Applying perturbation for layer: layer3.5.conv2, original output shape: torch.Size([32, 256, 14, 14]), perturbed activation shape: torch.Size([2112, 256, 14, 14])
2026-02-13 01:57:13,860 - INFO - Applying perturbation for layer: layer3.5.conv2, original output shape: torch.Size([32, 256, 14, 14]), perturbed activation shape: torch.Size([2112, 256, 14, 14])
2026-02-13 01:57:13,876 - INFO - Applying perturbation for layer: layer3.5.conv2, original output shape: torch.Size([32, 256, 14, 14]), perturbed activation shape: torch.Size([2112, 256, 14, 14])
2026-02-13 01:57:13,900 - INFO - Applying perturbation for layer: layer3.5.conv2, original output shape: torch.Size([32, 256, 14, 14]), perturbed activation shape: torch.Size([2112, 256, 14, 14])
2026-02-13 01:57:13,924 - INFO - Applying perturbation for layer: layer3.5.conv2, original output shape: torch.Size([32, 256, 14, 14]), perturbed activation shape: torch.Size([2112, 256, 14, 14])
2026-02-13 01:57:13,948 - INFO - Applying perturbation for layer: layer3.5.conv2, original output shape: torch.Size([32, 256, 14, 14]), perturbed activation shape: torch.Size([2112, 256, 14, 14])
2026-02-13 01:57:13,972 - INFO - Applying perturbation for layer: layer3.5.conv2, original output shape: torch.Size([32, 256, 14, 14]), perturbed activation shape: torch.Size([2112, 256, 14, 14])
2026-02-13 01:57:13,996 - INFO - Applying perturbation for layer: layer3.5.conv2, original output shape: torch.Size([32, 256, 14, 14]), perturbed activation shape: torch.Size([2112, 256, 14, 14])
2026-02-13 01:57:14,020 - INFO - Applying perturbation for layer: layer3.5.conv2, original output shape: torch.Size([32, 256, 14, 14]), perturbed activation shape: torch.Size([2112, 256, 14, 14])
2026-02-13 01:57:14,043 - INFO - Applying perturbation for layer: layer3.5.conv2, original output shape: torch.Size([32, 256, 14, 14]), perturbed activation shape: torch.Size([2112, 256, 14, 14])
2026-02-13 01:57:14,068 - INFO - Applying perturbation for layer: layer3.5.conv2, original output shape: torch.Size([32, 256, 14, 14]), perturbed activation shape: torch.Size([2112, 256, 14, 14])
2026-02-13 01:57:14,092 - INFO - Applying perturbation for layer: layer3.5.conv2, original output shape: torch.Size([32, 256, 14, 14]), perturbed activation shape: torch.Size([2112, 256, 14, 14])
2026-02-13 01:57:14,116 - INFO - Applying perturbation for layer: layer3.5.conv2, original output shape: torch.Size([32, 256, 14, 14]), perturbed activation shape: torch.Size([2112, 256, 14, 14])
2026-02-13 01:57:14,140 - INFO - Applying perturbation for layer: layer3.5.conv2, original output shape: torch.Size([32, 256, 14, 14]), perturbed activation shape: torch.Size([2112, 256, 14, 14])
2026-02-13 01:57:14,164 - INFO - Applying perturbation for layer: layer3.5.conv2, original output shape: torch.Size([32, 256, 14, 14]), perturbed activation shape: torch.Size([2112, 256, 14, 14])
2026-02-13 01:57:14,188 - INFO - Applying perturbation for layer: layer3.5.conv2, original output shape: torch.Size([32, 256, 14, 14]), perturbed activation shape: torch.Size([2112, 256, 14, 14])
