Full filepath,Full Class Index,sensitivityscore_before_features.7,sensitivityscore_before_features.19,sensitivityscore_before_features.20,sensitivityscore_before_features.21,sensitivityscore_before_features.22,sensitivityscore_before_features.23,sensitivityscore_before_features.24,sensitivityscore_before_features.25,sensitivityscore_before_features.26,sensitivityscore_before_features.27,sensitivityscore_before_features.28
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0006_702.jpg,1,-0.0031947903,0.020104373,0.024579186,0.0063271127,0.011471875,0.02115745,0.02001578,0.022039622,0.06641847,0.06439849,0.030019589
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0070_788.jpg,1,-0.0014683595,0.0010526627,0.012580892,0.016977044,0.007218491,0.024336424,0.03314258,0.012419872,0.052508865,0.04333741,0.025119092
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0044_784.jpg,1,0.0028065098,0.0010838013,-0.0011388118,0.003215161,-0.0017956927,-0.0035927226,0.010186517,0.01350062,0.051699094,0.05607059,0.04493969
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0004_930.jpg,1,0.003542199,0.0010485721,0.006592109,0.005270478,0.00593875,0.013439319,0.015454087,0.022803811,0.031087838,0.032223947,0.03259762
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0094_1013.jpg,1,0.006190056,0.018806025,0.014645737,0.009321615,0.0041944715,0.0057426044,-0.00438412,-0.0071530654,0.07591186,0.06131362,0.030568004
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0050_870.jpg,1,0.006318733,0.014071849,0.021036662,0.018909957,0.017217262,0.03854143,0.03968937,0.037311845,0.06272315,0.058165133,0.030134533
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0088_883.jpg,1,0.002724377,0.010025375,0.0083868,0.015578373,0.012583424,0.034909803,0.042099617,0.032526374,0.061461322,0.0667887,0.03199161
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0055_570.jpg,1,0.00012036669,0.006856221,0.010123477,0.010076366,0.010522658,0.01922116,-0.00015603995,0.0068531088,0.023869026,0.007485516,0.03478881
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0013_910.jpg,1,-0.00017942523,0.012716815,0.008196871,0.013335165,0.017729653,0.018558113,0.01415262,0.019753952,0.05506859,0.04293943,0.0331296
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0071_792.jpg,1,0.0022056154,0.026418522,0.03214228,0.012513846,0.008438429,0.035229452,0.022934293,0.02881458,0.094577685,0.0888908,0.043025352
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0029_482.jpg,1,0.0035676458,0.032356717,0.033379823,0.017551892,0.01967172,0.044621266,0.037838086,0.057881158,0.075811215,0.079877436,0.041798282
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0034_628.jpg,1,0.0020964872,0.0049326434,0.016863383,0.002490493,0.0031551057,0.011193205,0.031925533,0.028167538,0.057779238,0.041521173,0.036029935
/mnt/sdd/caltech_training/multiclass/train/003.Sooty_Albatross/Sooty_Albatross_0020_796359.jpg,2,-0.00034555304,-0.022639632,-0.024170816,-0.008115661,-0.012178926,-0.04063512,-0.026439987,-0.038981333,-0.052680716,-0.053079516,-0.03036901
/mnt/sdd/caltech_training/multiclass/train/003.Sooty_Albatross/Sooty_Albatross_0006_796390.jpg,2,-0.003904191,-0.0066526392,-0.006515569,-0.0034545772,-0.008292846,-0.023848068,-0.02880608,-0.037406158,-0.052414924,-0.06490722,-0.03380169
/mnt/sdd/caltech_training/multiclass/train/003.Sooty_Albatross/Sooty_Albatross_0036_796387.jpg,2,0.0033507172,-0.010881152,-0.0040413905,-0.005893442,-0.0033562966,-0.020352788,-0.015684245,-0.019820094,-0.030151362,-0.030365476,-0.013814724
/mnt/sdd/caltech_training/multiclass/train/003.Sooty_Albatross/Sooty_Albatross_0043_1076.jpg,2,0.005676806,-0.0041850004,-0.015726823,-0.0020264678,0.004603845,-0.011949275,-0.00056276296,0.010602369,0.005265969,0.009270961,0.006151475
/mnt/sdd/caltech_training/multiclass/train/003.Sooty_Albatross/Sooty_Albatross_0055_1160.jpg,2,0.0023386267,-0.017783448,-0.014230963,-0.009124648,-0.0059240544,-0.020925377,-0.03780961,-0.023113254,-0.019643385,-0.020843731,-0.024251973
/mnt/sdd/caltech_training/multiclass/train/003.Sooty_Albatross/Sooty_Albatross_0044_1105.jpg,2,-0.0033666387,-0.021317188,-0.010942077,-0.012910888,-0.0014006457,-0.036087733,-0.043321066,-0.042393405,-0.015143607,-0.017716015,-0.0314364
/mnt/sdd/caltech_training/multiclass/train/003.Sooty_Albatross/Sooty_Albatross_0051_796374.jpg,2,0.00049197697,-0.0066598076,-0.0063039167,-0.0037127845,-0.004579073,-0.015251415,-0.019887,-0.0132563645,-0.04851268,-0.030441815,-0.027755653
/mnt/sdd/caltech_training/multiclass/train/003.Sooty_Albatross/Sooty_Albatross_0064_796343.jpg,2,0.0039060952,-0.0034345598,-0.0038275095,-0.012513675,-0.007131425,-0.027495764,-0.02003156,-0.017121587,-0.036828484,-0.02747704,-0.029933637
