Full filepath,Full Class Index,sensitivityscore_before_features.11.block.2.fc1,sensitivityscore_before_features.11.block.2.fc2,sensitivityscore_before_features.12.block.2.fc1,sensitivityscore_before_features.12.block.2.fc2,sensitivityscore_before_features.13.block.2.fc1,sensitivityscore_before_features.13.block.2.fc2,sensitivityscore_before_features.14.block.2.fc1,sensitivityscore_before_features.14.block.2.fc2,sensitivityscore_before_features.15.block.2.fc1,sensitivityscore_before_features.15.block.2.fc2,sensitivityscore_before_features.16.0
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0103_504.jpg,1,-0.015970398,0.050347522,0.09387233,0.047639914,0.057563215,0.05691111,-0.061661303,-0.059135508,0.0100873,0.027506065,-0.0045410325
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0102_611.jpg,1,-0.18669446,-0.06918034,-0.01529819,-0.014641061,-0.09622409,-0.05154399,0.11564088,0.09724394,-0.14545743,-0.04232943,0.018739348
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0099_869.jpg,1,0.027371503,0.01300377,-0.028581657,0.014740329,-0.1557898,-0.006111201,0.012572474,0.022252586,-0.11488564,0.020618346,-0.0002589397
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0039_924.jpg,1,0.08140352,0.033786107,-0.14148855,-0.033220448,-0.07428789,-0.08284612,-7.1913004e-05,-0.0053407447,-0.168778,-0.034852903,-0.02468539
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0023_1059.jpg,1,0.21847904,0.11256254,-0.023997622,0.015340911,0.08199778,0.079822324,-0.029501341,-0.03517455,0.03599465,-0.046237506,-0.020191006
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0092_834.jpg,1,-0.020923749,-0.017143745,-0.067080036,-0.06464712,0.06444858,0.015930027,0.15465945,0.08293741,0.017712928,-0.0475682,-0.031634413
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0083_756.jpg,1,-0.11282167,-0.055068895,0.030358352,0.03267175,0.09605782,0.027172744,-0.071537465,-0.054600906,0.024687849,-0.018154008,0.0020044898
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0091_602.jpg,1,-0.17110723,-0.07462135,0.067961395,-0.032579284,-0.052950878,-0.052534427,0.009504875,0.005756397,-0.0023518726,0.038475752,-0.023245005
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0056_500.jpg,1,0.161489,0.04080324,0.02301847,-0.014020029,-0.01647922,0.05703438,0.10712479,0.031165551,-0.02097169,0.03279969,-0.002039784
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0001_545.jpg,1,-0.02149406,0.031960826,0.063767,0.055146478,0.1269475,0.075179964,-0.042190008,0.03516748,-0.051180616,-0.043723285,0.0011964263
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0047_619.jpg,1,0.106435396,0.042375002,-0.1359111,-0.028507184,-0.099892825,0.0044426452,-0.11876367,-0.037785634,0.061082605,0.022498392,0.009998878
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0025_571.jpg,1,0.008700259,0.009408307,-0.20187901,-0.1506602,-0.08473344,-0.036119744,-0.012428946,-0.04891794,0.02243735,-0.020539014,-0.0044090813
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0006_702.jpg,1,-0.16790101,-0.044671997,0.0617405,0.032193094,-0.10332313,0.008828152,0.036060125,0.011468792,-0.06581254,-0.018576384,0.011801793
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0070_788.jpg,1,-0.0035546683,-0.10051234,0.026818566,0.0051270276,0.12205746,0.056537095,0.035005767,0.035303704,-0.09554182,-0.05967705,-0.026904643
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0044_784.jpg,1,-0.110047676,-0.08046522,-0.043624565,-0.05793018,0.12979141,-0.058215506,0.016172718,0.014162709,-0.112100095,-0.016374378,-0.004738824
