Full filepath,Full Class Index,sensitivityscore_before_features.19,sensitivityscore_After_features.19_0.5,sensitivityscore_After_features.19_0.6,sensitivityscore_After_features.19_0.7,sensitivityscore_After_features.19_0.8,sensitivityscore_before_features.20,sensitivityscore_before_features.22,sensitivityscore_before_features.23,sensitivityscore_before_features.24,sensitivityscore_After_features.24_0.5,sensitivityscore_After_features.24_0.6,sensitivityscore_After_features.24_0.7,sensitivityscore_After_features.24_0.8
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0013_910.jpg,1,-0.000941894,-0.010497606,0.001129138,-0.016729215,0.002965925,0.008836614,-0.00380499,-0.00235051,0.014161082,-0.010998337,0.010368853,0.018829897,-0.014448322
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0060_777.jpg,1,0.015495883,-0.028018879,-0.022771742,-0.026802681,-0.018176561,0.011546446,0.008260961,0.016975053,0.040393725,0.03326655,0.020307206,0.031533662,-0.01536884
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0006_702.jpg,1,0.012056951,0.001119205,-0.008422694,-0.015188037,-0.016086565,-0.00431302,-0.002026033,-0.00532265,0.031317025,0.019235296,0.002792399,-0.00870921,-0.031653058
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0092_834.jpg,1,0.007748989,0.023935549,0.001989172,0.005102332,0.001872291,0.010000519,0.007428755,0.016647492,0.038774297,0.027055629,0.030937161,0.028007176,0.013299728
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0096_673.jpg,1,0.009411831,0.002490027,0.013300672,-0.002200899,0.00459028,0.01246557,0.003055859,0.028311074,0.026244862,0.024304952,0.018152937,0.011861171,0.004841497
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0005_565.jpg,1,-0.001123958,-0.00897843,-0.003442153,-0.014160887,-0.000349401,0.001689783,-0.001004529,-8.14E-05,0.041473854,0.02242839,-0.019923827,-0.012109672,-0.011574666
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0104_630.jpg,1,-0.009183912,0.017801568,0.012663257,-0.007566408,-0.014509844,-0.004736388,-0.005700929,-0.008153634,-0.007619399,-0.007155317,-0.011748627,-0.004917247,0.013923303
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0049_918.jpg,1,0.011599958,0.002454284,-0.000568407,-0.010106306,0.000252606,0.004050441,-0.005531992,0.012008099,0.017251179,-0.013549228,-0.001791564,-0.007709096,-0.011477809
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0075_668.jpg,1,0.00434386,0.035207164,0.000801223,0.005266878,0.006063396,0.008020183,0.003299031,-0.007039005,0.018358786,0.032722384,0.01582469,0.041508198,-0.002651541
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0079_506.jpg,1,0.009547676,0.003909858,0.002522579,-0.002323041,-0.005065088,0.001455979,-0.00119818,0.005886247,0.0403464,0.011245066,-0.001445466,0.004145867,-0.020557165
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0094_1013.jpg,1,-0.020032853,0.011207175,-0.003208195,-0.015702197,-0.009983875,-0.012524172,-0.009723606,-0.0294055,-0.003895863,0.016717771,-0.000696084,-0.013837552,0.007348388
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0018_492.jpg,1,-0.016477216,0.006351849,-0.005964119,-0.009744089,-0.00384482,-0.010572134,-0.010462439,-0.018288277,0.003789736,0.014324408,-0.003018836,-0.004581597,0.014451291
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0047_619.jpg,1,0.008862671,-0.01313002,-0.001954545,-0.005950773,-0.003642382,0.007775521,-0.007010091,0.006367855,0.004589291,0.032924037,-0.005169105,-0.000666738,0.002123862
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0050_870.jpg,1,0.010472822,-0.016391205,-0.003295666,-0.006976972,-0.010183234,0.008407975,-0.001571095,0.028550461,0.04195425,0.038479082,0.018471776,0.005330433,0.011467599
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0044_784.jpg,1,0.001062177,0.02859629,0.01639323,-0.004984091,-0.004781169,-0.001523307,-0.00818425,-0.0313945,-0.02053015,-0.017079819,-0.040396865,-0.013623429,0.015409422
